Vocabulary,Translation,Pinyin
爱彼迎,Airbnb,àibǐyíng
和,"old variant of 和[he2]
harmonious",hé
宝洁,Procter & Gamble (consumer goods company),bǎojié
表示,"to express
to show
to say
to state
to indicate
to mean",biǎoshì
它们,they (for inanimate objects),tāmen
关注,"to pay attention to
to follow sth closely
to follow (on social media)
concern
interest
attention",guānzhù
的,"aim
clear",de
是,"variant of 是[shi4]
(used in given names)",shì
运动员,"athlete
CL:名[ming2],個|个[ge4]",yùndòngyuán
个体,individual,gètǐ
并,variant of 並|并[bing4],bìng
强调,"to emphasize (a statement)
to stress",qiángdiào
了,unofficial variant of 瞭[liao4],le
它们,they (for inanimate objects),tāmen
对,"right
correct
couple
pair
towards
at
for
to face
opposite
to treat (sb a certain way)
to match together
to adjust
to fit
to suit
to answer
to reply
classifier: couple",dùi
奥运会,"abbr. for 奧林匹克運動會|奥林匹克运动会
Olympic Games
the Olympics",àoyùnhùi
的,"aim
clear",de
投入,"to throw into
to put into
to throw oneself into
to participate in
to invest in
absorbed
engrossed",tóurù
而,"and
as well as
and so
but (not)
yet (not)
(indicates causal relation)
(indicates change of state)
(indicates contrast)",ér
非,"to not be
not
wrong
incorrect
non-
un-
in-
to reproach or blame
(colloquial) to insist on
simply must",fēi
只有,"only have ...
there is only ...
(used in combination with 才[cai2]) it is only if one ... (that one can ...) (Example: 只有通過治療才能痊愈|只有通过治疗才能痊愈[zhi3 you3 tong1 guo4 zhi4 liao2 cai2 neng2 quan2 yu4] ""the only way to cure it is with therapy"")
it is only ... (who ...) (Example: 只有男性才有此需要[zhi3 you3 nan2 xing4 cai2 you3 ci3 xu1 yao4] ""only men would have such a requirement"")
(used to indicate that one has no alternative) one can only (do a certain thing) (Example: 只有屈服[zhi3 you3 qu1 fu2] ""the only thing you can do is give in"")",zhǐyǒu
北京,"Beijing, capital of People's Republic of China
Peking
PRC government",běijīng
这,"this
these
(commonly pr. [zhei4] before a classifier, esp. in Beijing)",zhè
英特尔,Intel,yīngtèěr
的,"aim
clear",de
代表,"representative
delegate
CL:位[wei4],個|个[ge4],名[ming2]
to represent
to stand for
on behalf of
in the name of",dàibiǎo
表示,"to express
to show
to say
to state
to indicate
to mean",biǎoshì
该,"should
ought to
probably
must be
to deserve
to owe
to be sb's turn to do sth
that
the above-mentioned",gāi
公司,"(business) company
company
firm
corporation
incorporated
CL:家[jia1]",gōngsī
将,"to desire
to invite
to request",jiāng
继续,"to continue
to proceed with
to go on with",jìxù
确保,"to ensure
to guarantee",quèbǎo
我们,"we
us
ourselves
our",wǒmen
的,"aim
clear",de
全球,"entire
total
global
the (whole) world
worldwide",quánqíu
采购,"to procure (for an enterprise etc)
to purchase",cǎigòu
符合,"in keeping with
in accordance with
tallying with
in line with
to agree with
to accord with
to conform to
to correspond with
to manage
to handle",fúhé
美国,"United States
USA
US",měiguó
以及,"as well as
too
and",yǐjí
我,"I
me
my",wǒ
公司,"(business) company
company
firm
corporation
incorporated
CL:家[jia1]",gōngsī
运营,"to be in operation
to do business
(of train, bus etc) to be in service
operation
service",yùnyíng
所在,"place
location
(after a noun) place where it is located",suǒzài
的,"aim
clear",de
其他,"other
(sth or sb) else
the rest",qítā
司法,"judicial
(administration of) justice",sīfǎ
的,"aim
clear",de
